date,load_min,load_mean,load_max,CB_apparent_temperature_mean,CB_apparent_temperature_max,CB_apparent_temperature_min,CB_precipitation_sum,CB_rain_sum,CB_pressure_msl_mean,CB_cloud_cover_max,CB_dew_point_2m_mean,NB_apparent_temperature_mean,NB_apparent_temperature_max,NB_apparent_temperature_min,NB_precipitation_sum,NB_rain_sum,NB_pressure_msl_mean,NB_cloud_cover_max,NB_dew_point_2m_mean,SB_apparent_temperature_mean,SB_apparent_temperature_max,SB_apparent_temperature_min,SB_precipitation_sum,SB_rain_sum,SB_pressure_msl_mean,SB_cloud_cover_max,SB_dew_point_2m_mean,SM_apparent_temperature_mean,SM_apparent_temperature_max,SM_apparent_temperature_min,SM_precipitation_sum,SM_rain_sum,SM_pressure_msl_mean,SM_cloud_cover_max,SM_dew_point_2m_mean,NM_apparent_temperature_mean,NM_apparent_temperature_max,NM_apparent_temperature_min,NM_precipitation_sum,NM_rain_sum,NM_pressure_msl_mean,NM_cloud_cover_max,NM_dew_point_2m_mean,season_Winter,season_Spring,season_Summer,season_Fall,day_type,is_holiday,load_mean_lag7,load_mean_lag14,crisis
2022-07-15,5443.8,6687.5,7901.9,4.034408532434805,4.781289397973326,2.824087981075668,0.0,0.0,267.66908544264174,26.253219670929006,2.3162997813937394,3.5602607218286817,4.311797905422797,2.311700536115404,0.02417559924836152,0.02417559924836152,246.5457685793373,24.17559924836152,2.1175612874233467,2.7194956778369312,3.2468377737516843,2.136036936638526,0.11456619361801182,0.11456619361801182,166.8403954250699,16.366597919244693,1.7559996229742885,2.8475432456189558,3.513541834354278,2.147043377042944,0.33151675145515375,0.33151675145515375,168.76205010246116,16.57583757275769,1.4831921880651726,2.9085185924748154,3.321129652216875,2.3555805418838625,0.24943118383060633,0.24943118383060633,169.19610617921077,16.62874558870709,1.7536395734924608,0.0,0.0,1.0,0.0,W,0,6367.7,7090.7,1
2022-07-16,4846.9,5691.8,6619.4,3.990228170445483,4.745644088965122,2.9096327847124064,0.0,0.0,267.9020722659334,26.253219670929006,2.057595986696182,3.7323380439146616,4.615255104064073,2.6946350172856683,0.0,0.0,246.72106584948716,24.17559924836152,2.207715723360374,2.5426496773401164,3.3059171005906776,1.7892115418019157,0.0,0.0,167.0538649617306,16.0392659608598,1.5350507147304642,2.6921787488413766,3.5952590560042164,1.6201416752121085,0.0,0.0,169.04590303297584,16.57583757275769,1.2207412331117373,2.5436942240808467,3.2650146199281354,1.460913122497273,0.6152635535246711,0.6152635535246711,169.5349002418351,16.62874558870709,1.452936479525826,0.0,0.0,1.0,0.0,A,0,5593.3,5731.0,1
2022-07-17,4476.0,5579.0,6383.8,4.137014384672992,5.9300205523149545,1.9055038392538612,0.0,0.0,269.35916271217746,25.203090884091846,1.861790837081122,3.852339674683716,5.570944586046932,1.8630091502575736,0.0,0.0,248.07692048749254,21.75803932352537,1.9024989279034055,2.6656147098290477,3.7008462180356565,1.4123583497628671,0.0,0.0,167.90836503909435,16.366597919244693,1.4133241427060816,2.7591895558800124,3.8376879738743295,1.5306957206563088,0.0,0.0,169.9755505953252,16.57583757275769,0.9275562386502864,2.5633404218440807,3.408240666282964,1.4969564274231633,0.0,0.0,170.48135855450752,16.62874558870709,1.3462356391440486,0.0,0.0,1.0,0.0,U,0,5513.0,5576.9,1
2022-07-18,5166.7,6799.6,8133.6,5.035710137400889,7.233189421757184,2.5694884572221457,0.0,0.0,269.01458920399654,26.253219670929006,2.3759158551546817,5.1781283286839,6.76335597548192,3.053666599967093,0.0,0.0,247.72538309882216,24.17559924836152,2.2968632455887072,3.073739560512397,4.390712722937989,1.4584432525178972,0.0,0.0,167.7350918669233,16.366597919244693,1.5169790446399927,3.219726659699986,4.616452648650625,1.4916029338079655,0.0,0.0,169.86779107526468,16.57583757275769,1.0674148681704294,3.030167178553737,4.421691538883541,1.50308661448444,0.0,0.0,170.4460390988771,16.62874558870709,1.5540949590028872,0.0,0.0,1.0,0.0,W,0,6717.9,6141.8,1
2022-07-19,5408.6,7081.5,8500.0,6.300414102042256,8.642645501165957,3.69665154147532,0.0,0.0,268.0760260994729,10.763820065080893,3.062328336155644,6.341492493865989,8.059973142649067,4.439067204837894,0.0,0.0,246.87116247498054,22.72506329345983,2.9491006058061324,3.6913879610981253,5.0130409885327465,2.0957022743964435,0.0,0.0,167.21069952295156,3.7643175214262796,2.0819675890885923,3.909126850162152,5.174035811432696,2.335841006688024,0.0,0.0,169.3408369109079,6.630335029103075,1.5360276703283375,3.688477765328842,5.091615807865255,2.0675066476169395,0.0,0.0,169.8903563075393,11.473834456207891,1.9171556826397176,0.0,0.0,1.0,0.0,W,0,6806.3,5709.2,1
2022-07-20,5462.4,7036.0,8312.1,6.848354500953298,8.932442716632293,4.254003457106192,0.0,0.0,267.4371645000688,26.253219670929006,3.028418364967689,6.708590506992622,8.333375478060772,4.5636082878778135,0.0,0.0,246.35336949027914,24.17559924836152,3.021627887063202,3.8425858659956917,5.199782561463495,2.463330760850268,0.0,0.0,166.73882431838305,14.89360410651267,1.8630645055846737,4.36167655513094,5.481158400007149,3.120721834011916,0.0,0.0,169.01620741996425,16.57583757275769,1.6624182660622393,4.158117274354828,5.530147091081167,2.544983949588707,0.0,0.0,169.6430037169073,13.469283926852743,2.1963804236541544,0.0,0.0,1.0,0.0,W,0,6975.3,5714.0,1
2022-07-21,5474.7,7087.4,8474.6,6.465874231421696,8.564376777361016,4.785275424315963,0.6825837114441542,0.6825837114441542,267.2282151247078,26.253219670929006,3.638804934720198,6.229749006044182,7.6942831164226595,4.764993688932582,0.7736191759475687,0.7736191759475687,246.14183299685598,24.17559924836152,3.9760599961291536,3.861787649672487,5.069998058619551,2.603416564090563,0.2454989687886704,0.2454989687886704,166.7367457604473,16.366597919244693,2.4225974082828725,4.541496048113112,5.727090289631513,3.1979113656288556,0.0,0.0,168.64602586978688,16.57583757275769,2.0999515882571154,4.427954090759704,5.813248824129611,2.8700910580064165,0.0,0.0,169.24112850789217,16.62874558870709,2.551819361750401,0.0,0.0,1.0,0.0,W,0,7064.6,6470.3,1
2022-07-22,5487.9,6842.8,8314.8,6.7153504394564365,8.370930978344562,5.072597223699527,0.0,0.0,267.12651015170263,26.253219670929006,3.7208462461918512,6.1854914617681835,7.761604665893579,4.483326199649847,0.0,0.0,246.05827245561395,19.58223539117283,3.7196984362376373,4.103298405880196,5.081242238722031,2.868931718468491,0.0,0.0,166.67198313248085,16.202931940052245,2.6742336876252804,4.600762623837756,5.67344507770292,3.5429881467687796,0.04972751271827306,0.04972751271827306,168.62531601832347,16.57583757275769,2.314055880641276,4.4843313583663775,5.490508651358999,3.2255963447975615,0.5653773333872955,0.5653773333872955,169.14137100023098,16.62874558870709,2.6152167868822582,0.0,0.0,1.0,0.0,W,0,6687.5,6367.7,1
2022-07-23,4784.2,5759.1,6735.4,6.161330057401806,7.9048155643750855,5.151947055090518,2.4678029115995233,2.4678029115995233,266.75893882309,26.253219670929006,4.061044655314634,5.721548173856547,7.381341346684266,4.785112139115083,0.16922919473853062,0.16922919473853062,245.77115820382053,24.17559924836152,3.8451092364605164,3.915744395028736,4.799299602680599,3.2822588559664507,0.14729938781984142,0.14729938781984142,166.37737618663547,16.366597919244693,2.496247262585453,4.45387948587103,5.522907133309776,3.727913494998487,0.09945502543654612,0.09945502543654612,168.29447887620879,16.57583757275769,2.2342848280807552,4.253810051444337,5.747831671558549,3.2580425194777027,2.3779104528976576,2.3779104528976576,168.9002724808149,16.62874558870709,2.8715765038498557,0.0,0.0,1.0,0.0,A,0,5691.8,5593.3,1
2022-07-24,4442.4,5567.9,6381.0,5.674732406509464,7.185050730571978,4.174015935009395,0.0,0.0,267.7117731778267,26.253219670929006,3.354395930059123,5.376517647723819,7.0439181563670195,3.630110313713003,0.0,0.0,246.50752278132637,24.17559924836152,2.884128924582153,3.647179488794537,4.611985526154635,2.606116889081259,0.0,0.0,166.93861956248222,16.366597919244693,2.347924968942298,3.8537915658346393,4.436808030754847,3.158751280879967,0.0,0.0,168.8911924529905,16.57583757275769,1.8972425211707225,3.6131427300263073,4.250778631123516,2.721376694170035,0.03325749117741418,0.03325749117741418,169.46907368954763,16.62874558870709,2.2168194800070578,0.0,0.0,1.0,0.0,U,0,5579.0,5513.0,1
